               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10381,            0.030496,            0.043767,          0.00089382,             0.12904,          0.00057009,           0.0001361,            0.066326,            0.013741,            0.027011,            0.070682,           0.0032576,           0.0032576
                   1,            0.098675,            0.029835,            0.044232,            7.41e-05,            0.038328,          5.3764e-05,          1.5179e-05,            0.064292,            0.013218,            0.026937,             0.04066,           0.0065692,           0.0065692
                   2,            0.090184,            0.029746,            0.042407,            0.027096,             0.10511,            0.020604,           0.0074124,            0.058271,            0.014525,            0.072909,            0.010616,           0.0098587,           0.0098587
                   3,            0.082445,            0.028634,            0.041294,             0.10697,             0.17418,            0.049196,            0.016991,            0.065165,             0.26658,             0.13117,            0.009901,            0.009901,            0.009901
                   4,            0.077462,            0.028754,            0.041052,            0.093307,             0.12464,            0.013065,           0.0066095,            0.059942,            0.014327,            0.076166,            0.009901,            0.009901,            0.009901
                   5,            0.075746,            0.027155,             0.04008,           0.0031365,             0.89158,            0.018604,             0.00552,            0.044575,            0.010644,            0.038275,            0.009868,            0.009868,            0.009868
                   6,            0.073874,            0.025913,            0.039834,           0.0022056,             0.55051,            0.017117,           0.0033547,            0.048198,            0.011097,            0.030256,            0.009835,            0.009835,            0.009835
                   7,            0.071204,            0.026441,            0.039982,           0.0020763,             0.45502,           0.0050673,           0.0012544,            0.050394,           0.0066955,            0.045614,            0.009802,            0.009802,            0.009802
                   8,            0.067228,            0.026476,             0.03902,           0.0044141,             0.30547,           0.0036415,           0.0014617,            0.056887,           0.0058779,            0.084478,            0.009769,            0.009769,            0.009769
                   9,            0.066912,            0.027018,            0.039917,           0.0017666,             0.31172,           0.0055796,          0.00078274,            0.054721,           0.0055591,            0.036223,            0.009736,            0.009736,            0.009736
                  10,            0.060863,            0.026545,            0.038385,           0.0021158,             0.55056,           0.0083589,           0.0020225,            0.050389,           0.0078484,            0.024569,            0.009703,            0.009703,            0.009703
                  11,            0.061115,            0.025969,            0.039086,           0.0011258,             0.32328,           0.0015642,          0.00037058,            0.057337,           0.0068023,            0.031535,             0.00967,             0.00967,             0.00967
                  12,            0.060276,            0.026835,            0.039295,           0.0027669,             0.80238,            0.010594,           0.0025596,             0.04294,            0.010158,            0.025616,            0.009637,            0.009637,            0.009637
                  13,            0.059293,            0.026683,            0.038557,           0.0023381,              0.6699,            0.013202,           0.0034931,            0.044996,           0.0097245,            0.024077,            0.009604,            0.009604,            0.009604
                  14,            0.058054,            0.027541,            0.039058,           0.0024716,              0.6935,           0.0096705,           0.0023525,            0.043831,           0.0085366,             0.02424,            0.009571,            0.009571,            0.009571
                  15,            0.055992,            0.027189,            0.039032,             0.29687,            0.055277,            0.015568,            0.003934,             0.04119,           0.0099831,            0.024243,            0.009538,            0.009538,            0.009538
                  16,             0.05316,            0.026207,            0.037101,            0.012279,             0.38949,            0.017788,           0.0045546,            0.041243,           0.0085084,            0.024404,            0.009505,            0.009505,            0.009505
                  17,            0.052443,            0.026186,            0.038027,            0.037048,            0.064201,             0.03416,            0.013777,            0.039401,            0.010008,            0.023155,            0.009472,            0.009472,            0.009472
                  18,            0.052808,            0.025724,            0.038096,            0.058837,            0.062853,            0.062206,            0.022658,            0.036736,           0.0084312,            0.023873,            0.009439,            0.009439,            0.009439
                  19,            0.051433,            0.025456,            0.037601,            0.068351,             0.15068,            0.067619,            0.024642,            0.037903,           0.0093796,            0.023104,            0.009406,            0.009406,            0.009406
                  20,            0.050455,            0.025579,            0.038604,            0.073066,             0.13103,            0.036434,            0.011704,            0.037843,           0.0092591,            0.023758,            0.009373,            0.009373,            0.009373
                  21,            0.049425,            0.024795,            0.037625,             0.32783,             0.14419,            0.065717,            0.019181,            0.038637,           0.0090873,            0.022979,             0.00934,             0.00934,             0.00934
                  22,            0.048771,            0.025771,            0.037911,             0.29104,             0.17405,            0.033553,             0.01138,            0.033984,           0.0083375,            0.023907,            0.009307,            0.009307,            0.009307
                  23,            0.048762,            0.024792,            0.037942,             0.34115,             0.16195,            0.066713,            0.023304,            0.044698,           0.0092828,            0.023573,            0.009274,            0.009274,            0.009274
                  24,            0.050294,            0.024949,            0.040532,             0.28815,            0.055727,            0.036025,            0.012048,            0.044653,            0.010306,              0.0226,            0.009241,            0.009241,            0.009241
                  25,            0.047879,            0.024541,            0.037428,              0.3198,             0.11633,            0.087325,            0.024367,            0.035932,           0.0084035,            0.022892,            0.009208,            0.009208,            0.009208
                  26,            0.048234,            0.025221,            0.038078,             0.32113,            0.079802,            0.033089,           0.0083879,            0.042042,            0.008171,            0.025582,            0.009175,            0.009175,            0.009175
                  27,            0.045383,            0.024368,            0.038473,             0.37351,              0.1614,             0.10251,             0.04165,            0.034201,           0.0083189,            0.022916,            0.009142,            0.009142,            0.009142
                  28,            0.047019,            0.024393,            0.036934,            0.071427,             0.25186,             0.10663,            0.039772,            0.037195,             0.00897,            0.022195,            0.009109,            0.009109,            0.009109
                  29,            0.046031,            0.023897,            0.037443,             0.08722,             0.15781,            0.051851,            0.018857,            0.031153,           0.0090603,            0.022662,            0.009076,            0.009076,            0.009076
                  30,            0.045225,            0.023619,            0.036833,               0.148,             0.21044,             0.14765,            0.056671,            0.031047,            0.007889,            0.022869,            0.009043,            0.009043,            0.009043
                  31,            0.044757,            0.023636,            0.036315,             0.38926,             0.21559,             0.12494,            0.038063,            0.035438,           0.0083231,            0.022003,             0.00901,             0.00901,             0.00901
                  32,              0.0423,            0.023396,            0.035725,             0.12993,             0.27369,             0.15674,            0.063166,            0.031144,           0.0075702,            0.023596,            0.008977,            0.008977,            0.008977
                  33,            0.042869,            0.022834,            0.037019,             0.13975,             0.25764,             0.14632,            0.060585,            0.029526,           0.0086857,            0.023424,            0.008944,            0.008944,            0.008944
                  34,            0.044389,            0.023254,            0.037279,             0.21243,             0.34373,             0.22581,             0.10223,            0.027698,           0.0070062,            0.023272,            0.008911,            0.008911,            0.008911
                  35,            0.040621,            0.022372,            0.036405,              0.2046,             0.28282,             0.18845,            0.087672,            0.029806,           0.0063954,            0.021946,            0.008878,            0.008878,            0.008878
                  36,            0.044147,             0.02207,            0.035973,             0.44913,             0.44787,             0.25819,             0.11437,            0.028296,           0.0079044,            0.021431,            0.008845,            0.008845,            0.008845
                  37,            0.042171,            0.021391,            0.037418,             0.50434,             0.44164,             0.28569,             0.12728,            0.027169,           0.0081898,            0.021327,            0.008812,            0.008812,            0.008812
                  38,            0.040444,            0.021144,             0.03607,             0.19904,             0.28133,             0.18148,            0.082257,            0.030637,           0.0073169,            0.020791,            0.008779,            0.008779,            0.008779
                  39,            0.041916,            0.022219,            0.036739,             0.48429,             0.21732,             0.14249,            0.061672,             0.03692,           0.0069969,            0.022289,            0.008746,            0.008746,            0.008746
                  40,            0.040597,             0.02163,            0.037022,             0.11395,              0.2115,             0.13036,            0.065396,            0.026962,           0.0077539,            0.022301,            0.008713,            0.008713,            0.008713
                  41,            0.040565,            0.021618,            0.037355,             0.22169,             0.37654,             0.24712,             0.11953,            0.025423,           0.0073586,            0.022249,             0.00868,             0.00868,             0.00868
                  42,            0.038596,            0.020827,            0.034679,             0.26439,             0.44498,             0.28708,             0.14017,            0.030348,           0.0063697,            0.020707,            0.008647,            0.008647,            0.008647
                  43,            0.040406,            0.021294,            0.036253,             0.41003,             0.14869,             0.11264,             0.04747,            0.036298,           0.0068175,            0.022457,            0.008614,            0.008614,            0.008614
                  44,            0.039497,            0.021322,             0.03604,             0.60792,             0.40562,             0.34136,              0.1472,            0.027851,           0.0068269,            0.018874,            0.008581,            0.008581,            0.008581
                  45,            0.040342,            0.020816,            0.036165,             0.30172,             0.42106,             0.36684,             0.21527,             0.02506,           0.0063832,            0.021589,            0.008548,            0.008548,            0.008548
                  46,            0.039764,            0.019796,            0.036613,              0.6419,             0.47725,             0.39054,             0.21944,            0.026593,           0.0065847,            0.020198,            0.008515,            0.008515,            0.008515
                  47,            0.037237,            0.019775,            0.034186,             0.62714,             0.45634,             0.43413,             0.24867,            0.024852,           0.0061824,            0.018543,            0.008482,            0.008482,            0.008482
                  48,            0.040416,            0.020509,            0.035512,             0.49205,             0.27998,             0.20886,            0.097559,            0.029941,           0.0066755,            0.023107,            0.008449,            0.008449,            0.008449
                  49,            0.037187,            0.019082,            0.034605,             0.54756,             0.47942,              0.3651,             0.21729,             0.02346,           0.0067441,            0.022627,            0.008416,            0.008416,            0.008416
                  50,            0.038682,            0.019433,            0.035261,             0.51545,             0.45805,             0.32885,              0.1862,            0.023975,           0.0076571,            0.020711,            0.008383,            0.008383,            0.008383
                  51,            0.036787,            0.019371,            0.034037,              0.6074,             0.34295,             0.30351,             0.15295,            0.030281,           0.0059223,            0.020295,             0.00835,             0.00835,             0.00835
                  52,            0.035782,            0.018963,            0.034473,              0.3566,             0.45968,             0.41399,             0.24501,            0.026382,           0.0058913,             0.01885,            0.008317,            0.008317,            0.008317
                  53,            0.039181,            0.018937,            0.034517,             0.63597,             0.50783,             0.48324,             0.29828,            0.023077,           0.0056224,            0.017739,            0.008284,            0.008284,            0.008284
                  54,            0.035413,            0.018443,            0.033459,             0.57719,             0.44235,             0.38396,             0.23336,            0.023809,           0.0060993,            0.017529,            0.008251,            0.008251,            0.008251
                  55,            0.038434,            0.018672,            0.034666,             0.34471,             0.49244,             0.46919,             0.29925,            0.022485,           0.0055764,            0.017397,            0.008218,            0.008218,            0.008218
                  56,            0.036704,            0.018122,             0.03301,             0.37375,              0.4988,             0.41922,             0.25972,            0.022604,           0.0058155,            0.017864,            0.008185,            0.008185,            0.008185
                  57,             0.03779,            0.018545,            0.034118,             0.39114,             0.42559,             0.41874,             0.26103,            0.022372,           0.0059517,            0.019356,            0.008152,            0.008152,            0.008152
                  58,            0.037163,            0.018562,            0.034822,             0.37341,             0.62426,             0.46787,             0.28523,            0.023341,           0.0059072,            0.018274,            0.008119,            0.008119,            0.008119
                  59,              0.0369,            0.017825,            0.033659,             0.67443,             0.53531,             0.53548,             0.32784,            0.021299,           0.0065814,            0.017041,            0.008086,            0.008086,            0.008086
                  60,            0.035786,            0.018132,            0.034118,              0.4047,             0.37054,             0.36005,              0.2171,            0.024927,           0.0055636,            0.020756,            0.008053,            0.008053,            0.008053
                  61,             0.03663,            0.018094,            0.033332,             0.69735,             0.50549,             0.51086,             0.34423,            0.022003,           0.0055106,            0.017113,             0.00802,             0.00802,             0.00802
                  62,            0.035807,            0.018004,            0.032517,             0.41423,             0.44703,             0.41043,             0.26978,            0.022268,           0.0054253,            0.022537,            0.007987,            0.007987,            0.007987
                  63,             0.03381,            0.017503,            0.033055,             0.44176,              0.6054,             0.51908,             0.34951,            0.020821,           0.0050047,            0.015484,            0.007954,            0.007954,            0.007954
                  64,            0.034343,            0.016878,            0.033842,             0.45221,              0.6657,             0.53058,             0.35022,            0.020423,            0.005102,             0.01505,            0.007921,            0.007921,            0.007921
                  65,            0.034407,            0.016893,            0.032353,             0.48616,             0.64431,             0.52742,             0.34383,             0.02026,           0.0052658,            0.019165,            0.007888,            0.007888,            0.007888
                  66,            0.033417,            0.017235,            0.032748,             0.40758,             0.57553,             0.47249,             0.32929,            0.021021,           0.0050899,            0.016429,            0.007855,            0.007855,            0.007855
                  67,            0.034496,            0.017251,            0.033211,             0.44245,             0.41621,             0.34984,             0.21606,            0.025147,           0.0058441,            0.021084,            0.007822,            0.007822,            0.007822
                  68,            0.035116,            0.016796,            0.032298,             0.53054,              0.6091,             0.55512,             0.36958,            0.022748,           0.0049635,            0.015891,            0.007789,            0.007789,            0.007789
